trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,volatility_regime,trend_regime,split,month,spec_hash
33,2025-06-04 12:44:00,2025-06-04 12:52:00,SHORT,104964.49,105043.21336750001,SL,8,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000238,-0.0016000000000000237,0.0008981132571595357,9.565139601029023e-05,105250.94947258453,105551.2067352395,85.31428958647992,91.56827332721156,Low,Trending,train,2025-06,c555ac9efd53
34,2025-06-04 12:57:00,2025-06-04 13:21:00,SHORT,105046.21,105124.9946575,SL,24,5e-05,0.0008,0.0008500000000000001,-0.000750000000000003,-0.0016000000000000031,0.0007653774467445725,0.0015647399368336078,105158.27029439011,105429.65950169701,80.41535196972616,85.65468248952027,Low,Ranging,train,2025-06,c555ac9efd53
35,2025-06-04 14:19:00,2025-06-04 14:31:00,SHORT,104626.65,104705.1199875,SL,12,5e-05,0.0008,0.0008500000000000001,-0.000750000000000075,-0.001600000000000075,0.0009687780312186291,0.000828182876924705,104718.11991552236,104913.9434166838,89.21151597158926,92.98180202814024,Medium,Ranging,train,2025-06,c555ac9efd53
36,2025-06-04 14:35:00,2025-06-04 14:40:00,SHORT,104645.31,104723.7939825,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000861,-0.0016000000000000862,0.0009222582454962321,0.0005780478838467839,104690.14966680687,104843.41459556513,41.24843034795961,63.42102632012833,Low,Ranging,train,2025-06,c555ac9efd53
37,2025-06-04 15:52:00,2025-06-04 15:58:00,LONG,105405.43,105326.37592749999,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000267,-0.0016000000000000267,0.0014653894016654727,0.0007546100803346484,105310.67428454125,105170.1040158032,34.2474196943164,25.94286778592927,Low,Ranging,train,2025-06,c555ac9efd53
38,2025-06-05 12:12:00,2025-06-05 12:13:00,SHORT,104993.14,105071.884855,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999732,-0.0015999999999999734,0.0015416245289930426,0.00012515103367705184,105155.476313032,105129.27850667527,90.86211059922304,88.25286916016911,Low,Ranging,train,2025-06,c555ac9efd53
39,2025-06-05 12:15:00,2025-06-05 12:16:00,SHORT,105104.09,105182.9180675,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999879,-0.001599999999999988,0.000817855898852332,4.833303822907126e-05,105151.30897325993,105128.67978737137,85.68944641285952,91.93023849957062,Medium,Ranging,train,2025-06,c555ac9efd53
40,2025-06-05 13:21:00,2025-06-05 13:22:00,LONG,105765.14,105685.81614499999,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000912,-0.0016000000000000914,0.000910980687965863,0.0,105659.54106677603,105505.9878126759,20.96101389054002,16.968557812977348,High,Ranging,train,2025-06,c555ac9efd53
41,2025-06-05 13:26:00,2025-06-05 13:31:00,LONG,105688.0,105608.734,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000308,-0.0016000000000000309,0.0019658807054727507,0.0002921807584589041,105661.88050061441,105521.81790691172,18.270089810502757,10.938368324386046,Low,Ranging,train,2025-06,c555ac9efd53
42,2025-06-05 14:31:00,2025-06-05 14:37:00,SHORT,104186.98,104265.120235,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999898,-0.0015999999999999899,0.0010576177560766454,0.0016867750653679634,104462.3639823796,104783.67665354472,74.93597010613524,84.74772823435093,Medium,Trending,train,2025-06,c555ac9efd53
43,2025-06-05 15:38:00,2025-06-05 15:46:00,LONG,104720.73,104642.1894525,SL,8,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000065,-0.0016000000000000066,0.0009710589297840297,0.000643807582319167,104614.9010848105,104638.32297039805,29.2019633093347,23.1397712936042,Low,Ranging,train,2025-06,c555ac9efd53
44,2025-06-06 12:50:00,2025-06-06 13:04:00,SHORT,103878.97,103956.8792275,SL,14,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000026,-0.0016000000000000027,0.0007569385795797229,0.0012101583217469945,104005.91143849562,104184.5215850414,84.34007034570213,88.9635950868704,Medium,Ranging,train,2025-06,c555ac9efd53
45,2025-06-06 13:08:00,2025-06-06 13:13:00,SHORT,103913.47,103991.40510250001,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000665,-0.0016000000000000666,0.0013138816363268287,0.00014319606495678236,103944.21844000502,104093.44056446484,77.16151543143833,85.65819070056257,Low,Ranging,train,2025-06,c555ac9efd53
46,2025-06-06 15:12:00,2025-06-06 15:14:00,LONG,104810.54,105020.16107999999,TP,2,5e-05,0.0008,0.0008500000000000001,0.001999999999999973,0.001149999999999973,0.0,0.003501651646866902,104667.44764474672,104513.9860560999,44.28941619779599,27.43503588947677,High,Ranging,train,2025-06,c555ac9efd53
47,2025-06-06 15:26:00,2025-06-06 15:27:00,LONG,104955.9,104877.183075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000750000000000006,-0.001600000000000006,0.001782653476364752,0.0,104806.5408880298,104632.26427750748,26.890147405934957,25.009264297762172,High,Trending,train,2025-06,c555ac9efd53
48,2025-06-06 15:31:00,2025-06-06 15:36:00,LONG,104844.86,104766.22635499999,SL,5,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000857,-0.0016000000000000857,0.0017316061083013788,0.0010600424284032562,104812.85099638173,104652.01839697246,53.43036066613953,33.010268544577286,High,Ranging,train,2025-06,c555ac9efd53
49,2025-06-07 12:54:00,2025-06-07 13:00:00,LONG,105475.13,105396.02365250001,SL,6,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999749,-0.001599999999999975,0.0009000225930037494,8.191504480723956e-05,105338.21274217042,105161.56286196862,46.36034381503628,27.41678552181399,Low,Trending,train,2025-06,c555ac9efd53
50,2025-06-07 13:05:00,2025-06-07 13:22:00,LONG,105360.54,105571.26108,TP,17,5e-05,0.0008,0.0008500000000000001,0.0020000000000000287,0.0011500000000000286,0.00048386236441077396,0.0020124232468817396,105359.32457160579,105208.6077749117,9.518825845355439,10.629908310384732,Low,Ranging,train,2025-06,c555ac9efd53
