trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
30,2019-04-20 13:05:00,2019-04-20 13:40:00,LONG,5290.61,5286.6420425,SL,7,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000022,-0.0016000000000000022,0.0010925016207960416,0.0017748425984905952,5259.630835365993,5238.187989083491,68.0781841704647,44.59685665018924,16.20648259303631,68.0781841704647,Medium,Trending,train,2019-04,3509407d0c39,15-20
31,2019-04-23 13:20:00,2019-04-23 13:30:00,LONG,5537.07,5548.144139999999,TP,2,5e-05,0.0008,0.0008500000000000001,0.001999999999999949,0.0011499999999999488,3.250816767701718e-05,0.003057573770965563,5402.443707025499,5342.331845317016,52.431078613977434,34.60633720871374,15.94402385868573,52.431078613977434,Medium,Trending,train,2019-04,3509407d0c39,15-20
32,2019-04-23 13:35:00,2019-04-23 13:40:00,LONG,5540.5,5551.581,TP,1,5e-05,0.0008,0.0008500000000000001,0.0020000000000000235,0.0011500000000000234,0.0,0.0029943145925458254,5418.472644517138,5354.086790422658,78.46153551153138,79.16869911718608,35.44390915347784,79.74125134277352,Low,Trending,train,2019-04,3509407d0c39,
33,2019-05-02 13:35:00,2019-05-02 13:55:00,LONG,5438.69,5449.5673799999995,TP,4,5e-05,0.0008,0.0008500000000000001,0.0019999999999999823,0.0011499999999999822,0.0004946043992210624,0.005677837861690979,5398.670791648228,5366.514969421759,48.76597122884582,42.099910333803756,19.030561478322593,48.76597122884582,Medium,Trending,train,2019-05,3509407d0c39,15-20
34,2019-05-09 13:20:00,2019-05-09 13:25:00,LONG,6046.71,6042.1749675,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999906,-0.0015999999999999908,0.003590382207845264,0.0015512567991519536,5991.308631760518,5945.554766513525,38.75256296926921,28.10953712538719,18.777627761084517,38.75256296926921,Medium,Trending,train,2019-05,3509407d0c39,15-20
35,2019-05-09 13:30:00,2019-05-09 13:35:00,LONG,6041.65,6053.7333,TP,1,5e-05,0.0008,0.0008500000000000001,0.002000000000000039,0.001150000000000039,0.00035751822763646597,0.0037804242218599468,5995.613250617842,5949.5418396822915,51.57070929491732,44.93044114195692,18.777627761084517,51.57070929491732,High,Trending,train,2019-05,3509407d0c39,15-20
36,2019-05-10 14:30:00,2019-05-10 14:35:00,LONG,6326.02,6321.275485,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000504,-0.0016000000000000506,0.002292120480175529,0.0,6241.775045498699,6148.412176762989,35.281285820600715,34.18696409225944,25.396825396826248,35.281285820600715,Low,Trending,train,2019-05,3509407d0c39,
37,2019-05-17 13:10:00,2019-05-17 13:15:00,SHORT,7091.41,7096.7285575,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999676,-0.0015999999999999678,0.008121092984328948,0.0,7551.232162096823,7683.820261419912,66.63329601021483,77.14924434546725,66.63329601021483,89.19845800483786,Medium,Trending,train,2019-05,3509407d0c39,
38,2019-05-17 13:20:00,2019-05-17 13:25:00,SHORT,7148.81,7154.1716075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999987,-0.0015999999999999988,0.0025752537834968134,0.0021234303331603846,7520.9395929236725,7663.170359982017,74.32692242274929,68.42182403837893,64.30525368217253,86.25427183623907,Medium,Trending,train,2019-05,3509407d0c39,
39,2019-05-17 14:25:00,2019-05-17 14:30:00,SHORT,7194.67,7180.28066,TP,1,5e-05,0.0008,0.0008500000000000001,0.001999999999999961,0.001149999999999961,0.0007408261949470827,0.003182911794425545,7391.218378075627,7556.972123222244,52.47369288130023,62.49173998914224,52.47369288130023,91.204723820318,Low,Trending,train,2019-05,3509407d0c39,
